Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3
-12.46,-15.5775,-41.61,-15.213812,-32.688038,-63.26099
6.70625,8.3242855,8.028334,2.988774,3.7814016,11.901419
-28.91,-39.23,-80.54,-24.047129,-40.528625,-56.28684
-5.966,-55.994,-41.722,-33.235355,-38.646053,-50.73659
10.671429,71.98231,178.46167,2.2476647,67.58518,195.61162
9.04,4.46,23.4,8.681376,8.500376,22.222141
2.7,-12.42,-62.11,-7.6052675,-23.283146,-54.586002
13.75,-38.925,-106.48,-12.38594,-50.930653,-75.956696
12.8548,32.736668,65.89391,16.370459,39.340576,66.07567
-32.44,-98.81,-98.8,-48.09035,-71.46243,-89.47987
29.949444,61.85059,90.96625,14.868651,46.650192,99.827194
-89.52,-106.57,-73.46,-56.663406,-92.79335,-72.898285
-39.53,-63.35,-40.08,-42.022797,-50.268383,-33.579872
-18.926666,-39.6,-82.905,-26.261255,-35.90305,-59.317707
26.9628,70.8625,137.19304,24.280848,69.46178,126.53493
23.354445,32.2225,38.6125,11.223476,27.533487,55.51283
5.4457145,28.24,41.34,7.8583403,26.140556,39.80957
-25.02,6.02375,-15.245714,-14.582193,-9.294935,-1.8744926
42.905834,99.55091,236.712,52.178223,109.7637,212.65508
-0.22173913,-1.680909,-2.974762,3.5953848,12.05151,0.29948997
-59.92,-89.95,24.93,-66.73629,-59.796803,14.557407
16.1708,61.375416,107.3113,23.0778,62.23317,97.68167
-113.43,-129.29,-126.628334,-96.45426,-128.74228,-136.58223
-105.3,-124.38,-44.5,-76.1472,-99.226715,-66.41333
-14.06,-90.2,-78.67,-34.196514,-72.181625,-88.95949
91.5625,376.63666,608.895,122.23734,344.6706,629.87415
-27.6875,-56.353333,-62.06,-26.984915,-47.539715,-59.819637
-65.95,-60.59,-125.02,-52.00377,-78.11246,-107.466385
32.840527,30.275,24.184706,19.222904,31.324064,6.555045
83.785,299.56,144.2,137.49348,272.59702,162.98756
3.412,-19.842222,-54.7275,-5.1608095,-11.539539,-49.19623
166.305,204.85,68.6626,128.89688,207.93234,110.387085
15.364285,18.324,7.7226315,11.473133,21.574825,25.345474
-19.77,47.027332,23.889286,1.6452734,32.5465,35.078297
-4.1457143,-1.8607693,-1.725,3.7589152,-6.416254,-19.471786
19.5672,38.31875,93.71957,21.38548,39.945484,86.49611
-61.83,15.35,-11.66,-20.385025,-9.993874,-10.101719
93.726,258.30554,297.77,112.388245,253.73541,312.73642
-50.48,-58.44,-79.09534,-42.854027,-49.29041,-73.35126
-53.61,-94.52,-73.42,-68.890854,-100.02109,-101.06505
7.797143,41.49,57.104,-0.27281952,22.48647,39.546745
286.60666,256.105,-18.42,199.12479,223.43446,53.04311
-7.5116,-12.340834,-18.9,-1.0859063,-5.7887096,-19.957474
21.4225,-1.1194737,118.95722,4.860469,24.87196,89.84471
-10.846666,-24.602,-44.9125,1.9958885,-19.36523,-36.916233
-46.5,-110.43,-135.59,-57.905437,-96.31555,-138.65643
3.5023077,-1.6483333,-7.1336365,7.055709,10.652375,-9.47839
23.596363,34.245,27.995556,20.062315,32.830223,29.493254
-8.23,4.62,-4.615,2.6177418,-8.9770355,3.1748486
-0.86,5.5814285,21.971666,-0.6288698,-12.587856,14.364206
8.496,2.512143,-11.602307,15.594747,8.551863,-4.3586426
-84.67,-123.71,-148.75,-80.725555,-125.46066,-148.75484
-86.13,-102.41,-124.82,-73.112564,-94.18764,-121.86302
-41.18,-25.52,-75.06,-43.97997,-49.79645,-51.77505
28.174,46.6075,260.36,22.783518,65.74486,249.52275
-53.6,-0.79,8.6025,-25.330692,-10.713655,0.433033
-72.52,-73.63,-123.19,-48.52997,-76.37181,-93.55736
11.925,21.526,63.825,23.533916,40.96636,66.053955
22.622353,29.518126,47.852,9.907879,26.080742,42.1622
-110.69,-144.9,-133.29,-83.42968,-131.14525,-128.62495
27.798,42.281113,61.07125,18.096249,35.002937,30.855309
25.39,65.52,68.6626,32.53149,78.06579,70.972015
18.460833,50.641304,75.24,20.749031,44.34098,73.47203
34.316666,45.9195,94.76369,21.263184,54.783455,92.99516
-103.71,-103.88,-127.5,-74.69672,-98.29172,-102.63301
0.384,0.22357143,26.993572,-1.3069699,12.753164,27.09206
71.985,-143.9,-134.46,-4.378297,-80.0121,-134.5878
-104.49,-8.883333,-21.55,-40.303898,-42.171032,-46.89336
-31.43,-50.35,-49.28,-32.09106,-39.863884,-41.5239
9.307143,13.118,10.312632,5.741437,19.450665,24.355125
-5.415,-34.25,34.9,4.614937,-0.68291855,19.022469
-5.98,-30.44,31.65,-15.228322,-13.835453,26.304304
27.545713,59.671665,90.784,24.486708,58.24115,85.72056
-11.155,-40.99,68.6626,-2.7629528,-1.6233215,38.785316
-86.06,-111.21,-150.89,-61.218124,-112.411316,-142.16246
134.54,440.90582,840.0161,92.02443,342.59644,834.6237
42.693333,135.96,-96.96,55.774963,142.20798,-40.37896
-54.746666,-100.60667,-97.27,-51.296978,-87.02763,-86.62843
11.830625,8.130667,-17.812143,1.1305497,4.7014,2.6869469
26.78,56.3975,70.52286,27.055525,49.464188,80.11058
-46.33,-69.51,-92.24,-43.068573,-54.41875,-79.102325
-25.12,-50.28,68.6626,-35.24966,-6.3921432,53.834663
31.08,66.18792,120.861305,19.955511,62.36453,121.99454
23.2105,55.89737,81.791664,26.793734,58.0042,90.42404
28.512,96.907776,192.49625,40.157948,95.427185,181.01036
-64.98,-100.83,-113.55,-54.84721,-83.019226,-110.14711
-80.1,-114.11,-73.72,-68.18677,-98.103455,-82.19978
41.54375,116.53435,260.67953,35.6639,105.178345,254.002
12.423333,16.038,33.7,7.437293,20.931133,30.826431
-70.47,-72.34,-89.04,-50.897717,-64.442825,-87.99509
14.744,30.297916,67.28739,20.895155,29.210926,61.25127
-57.34,17.11,10.02,-20.285635,-9.612957,6.2134113
-16.916666,-45.575,-64.18,-11.191004,-25.281342,-55.108234
-50.75,-68.46,-121.63,-44.656334,-80.15631,-120.87872
-2.35,-33.02,-59.77,-15.338798,-28.49746,-49.80392
-8.87,-1.08,61.03,-7.254003,15.033453,44.3595
48.16,145.44,251.62375,45.742153,113.86749,222.65025
-8.256,-49.365,-8.48,-29.013819,-27.785637,-9.846172
-14.97,-93.93,-89.0,-43.302063,-67.81789,-87.39401
-87.56,-129.64,185.30444,-105.06271,-113.79875,159.17989
25.112223,35.62706,25.1575,23.731403,31.358353,27.930813
6.786667,13.422,39.835,13.226401,15.651398,29.466364
43.696,85.4975,166.99,40.963936,83.912094,164.12802
3.7083333,52.203335,21.992,4.1000557,29.79479,24.701286
11.374375,19.461334,28.012857,11.066639,15.132583,44.486084
-19.73,187.155,221.34,48.888977,205.95306,250.54861
-22.31,-22.59,-20.8,-23.897284,-25.572674,-19.45644
-25.31,-40.09,-13.74,-32.500874,-43.23331,-22.841778
30.020908,42.68714,51.737,15.777699,31.518755,63.23056
47.32,77.795,77.1,33.119537,58.766563,78.91466
-77.33,-87.85,-135.02,-67.05779,-99.57968,-127.416214
-45.97,-46.21,5.69,-18.970364,-27.692085,-12.073849
51.915,108.93,68.6626,56.98623,79.93794,100.451904
176.56334,182.615,923.36,84.537056,310.4454,826.76654
-17.41,-24.52,-3.61,-25.603853,-26.166668,-0.78269196
59.66111,71.68875,50.624287,40.030876,65.98454,72.749725
-17.682222,-34.743332,-38.94889,-27.704195,-38.893307,-43.234447
17.25,-26.275,-17.368334,-2.7772279,-19.37947,-16.737888
