Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3
25.4325,79.365265,172.43222,32.003754,75.85035,173.79454
54.015907,167.70619,425.2855,55.806305,165.11708,424.08124
-98.26,-115.38,-147.73,-92.11335,-112.643555,-136.3677
-95.55,-117.4,-155.9,-72.00236,-111.63183,-132.12024
-97.39,-125.57,-92.81,-104.234,-125.4427,-90.40923
-9.93,-34.71,68.6626,-30.980743,-25.805243,59.55291
25.0372,62.492085,108.18348,24.398113,57.459755,109.64017
-102.76,-137.53,-123.42,-98.3166,-131.76672,-113.16559
56.1432,171.65334,250.20174,60.488342,173.76726,270.51398
24.3045,49.22684,73.46555,23.683878,46.308544,69.82773
491.99335,1682.385,9188.1,198.40582,703.8083,1528.9109
37.59625,46.555714,27.676666,29.949472,48.74624,28.96881
40.570454,131.62666,172.8295,47.559273,113.63205,171.03787
140.60333,521.11,1408.43,133.26483,552.9794,1364.157
40.975,79.384,98.87,35.624924,68.78313,94.48277
1.3917648,-2.505625,-17.201334,-9.629222,-6.092102,-21.969885
30.92,84.63,154.64,27.408407,75.5439,152.21489
-9.715,-52.636,-65.612,-28.40054,-48.574196,-70.42349
22.178421,25.587778,45.362354,16.437471,33.50319,37.53841
19.054546,38.308,76.40111,10.346563,44.07366,74.1999
-45.77,-21.71,-4.424762,-25.463423,-18.803057,9.098494
-6.3,-19.5475,-10.692857,-8.16264,-19.435995,-13.893423
44.646873,28.715334,62.110714,22.76932,42.311916,44.6231
28.915,66.81,68.6626,22.108664,64.07792,64.48849
-40.35,-76.05,-108.09,-51.412163,-73.04315,-98.21013
44.21909,93.18762,65.391,43.591675,79.8819,85.24413
123.931816,459.794,550.08777,113.92133,463.16888,569.41437
-14.57,25.042,47.91737,6.1964006,22.09378,54.625137
6.383333,-29.14,-13.84,-9.594282,-25.757109,-25.120466
9.213333,32.8875,13.031428,19.042524,23.579975,6.6941795
18.986666,35.84625,89.97429,5.932475,31.110798,84.4013
23.2105,55.89737,81.791664,24.66812,53.83156,88.66663
-28.19,-28.7,-32.84,-22.17215,-27.528246,-29.290281
74.149,239.19221,637.60876,70.324425,233.42256,637.08997
15.43,-3.32,37.79,5.506543,11.048879,34.106934
-0.735,-6.117778,-0.42166665,1.2509398,-6.0041103,3.8585339
14.723333,40.23,110.76,14.511709,43.640633,109.62531
-35.64,-64.38,-78.82,-34.999725,-55.563423,-71.36833
81.655,31.19,68.6626,49.28665,28.86387,64.6619
6.2713637,43.904762,76.331,10.189549,33.99385,86.84868
53.172,135.8975,326.32333,49.639282,127.322235,323.74582
22.2708,49.67375,90.99304,16.16656,44.140923,80.82059
-111.37,-145.94,-133.24,-114.287315,-140.16502,-133.41193
-71.71,-77.9,-88.35,-64.261826,-95.04579,-77.50778
8.0924,34.12875,71.53478,8.736057,27.465126,63.998413
2.4666667,5.136,3.075,-4.220003,-5.1592426,-5.6082363
-46.33,-69.51,-92.24,-35.56044,-71.927734,-90.43097
9.6428,36.650833,58.78087,5.2828665,27.97685,60.152016
-29.205,-55.92,68.6626,-31.829977,-56.03575,60.12671
17.29625,58.748,106.275,23.445425,55.660736,87.848045
38.865555,116.3675,145.06143,44.47101,90.734634,114.04016
7.045,21.250435,34.216362,4.8854375,12.5744,27.231518
43.446957,107.64273,198.70952,43.600174,104.09584,198.89612
41.807827,168.84818,395.95047,40.83249,152.05438,382.87262
14.05,-13.7277775,-5.31625,-0.958261,-6.6081276,-14.14517
71.985,-143.9,-134.46,-9.264582,-75.85385,-142.76248
16.6075,45.0,66.285,12.972715,36.269165,59.127502
-0.9952174,-9.739091,-19.768095,-3.3585863,-13.596607,-17.793577
28.23294,75.79,107.37334,38.79361,85.82211,117.35785
133.445,-66.82,-108.12,66.39643,-26.939943,-102.60295
-8.87,-1.08,61.03,-16.328382,10.731661,53.473305
21.131874,28.701334,31.43,14.111752,24.517464,21.560642
30.088333,62.318,33.99,34.07238,39.32167,30.090868
-0.762,6.6854167,10.56,5.3354025,8.200756,4.0875072
23.386,33.52875,43.749565,16.522936,36.60051,49.635548
-32.28,-6.1525,-3.7975,-26.468096,-14.681831,3.8245983
16.778572,42.299232,68.395,26.348616,46.261124,66.11367
27.798,42.281113,61.07125,17.196093,30.636147,56.546646
-83.99,-105.51,-116.99,-87.20731,-110.141205,-103.7594
