Actual_ Target 1 ,Actual_ Target 2 ,Actual_ Target 3 ,Predicted_ Target 1 ,Predicted_ Target 2 ,Predicted_ Target 3 
-14.18,18.91,39.81,13.299845,-1.3901844,-0.15421984
38.52,133.36,139.07,24.273527,49.600174,145.2476
-20.59,-37.42,-70.99,8.296068,238.46022,167.4027
-33.94,-43.78,-1.62,10.799143,15.111723,32.963028
68.63,48.512856,92.085,11.942316,9.507521,38.876785
-20.06,-18.82,-32.67,9.568781,19.92964,30.955826
-88.47,-8.963333,-46.41,80.8574,155.04568,233.67558
17.63,-21.41,29.6,46.01372,105.26878,163.43886
-8.81,-42.77,14.92,5.6162057,29.443464,79.38966
-30.34,-13.23,40.97,8.4183445,11.895132,19.858429
9.75,10.6,7.81,6.57564,8.799612,-5.4539633
-7.13,67.58,20.38,0.9662422,-0.018297195,6.466569
-19.47,33.46,21.48,12.510057,22.951277,50.554184
-26.42,-10.7,-19.5475,10.228258,11.548506,15.993241
56.53375,-19.55,-24.29,9.314287,61.298767,150.78941
22.83,8.23,-8.29,1.3714164,3.9982586,4.6493387
7.29,-6.14,-48.8,-0.6714512,111.7997,265.32898
-27.52,-43.42,-52.02,-6.5223365,-13.892168,-11.361373
36.82,85.85,94.87,2.776915,7.743002,12.709992
15.95,16.81,2.37,7.1252847,10.925276,22.529251
-56.98,-52.63,-26.72,16.2437,30.402678,43.42354
-70.59,-60.66,-1.92,-6.986181,-19.837282,-29.688522
18.19,-12.21,-97.46,17.314451,17.70101,3.6380165
31.51,56.57,-85.89,-19.444365,-110.1391,-161.61874
149.9,354.22,1408.43,22.895897,82.433685,148.24304
16.6,22.78,78.22,5.657206,11.383162,26.430313
13.12,41.85,19.21,17.891306,25.847593,51.8553
77.51,35.64,74.75,14.042902,34.570877,59.00807
118.76,51.12,52.86,5.437136,3.390089,33.361557
19.57,48.55,43.67,1.324015,47.531944,28.326014
121.31,88.79,17.96,27.020655,57.344994,80.13086
-4.45,6.94,-38.56,-8.807081,6.0094433,2.3805702
56.62,56.83,62.62,32.511547,48.450653,92.001205
27.53,-55.46,-78.95,43.591824,103.11776,171.59059
50.88,-14.83,-49.15,0.7989105,11.808435,11.418588
-26.27,34.93,-12.64,15.190714,32.003983,60.06682
34.68,115.7,271.66,10.882168,104.17549,254.66335
37.8,129.42,253.54,60.28033,117.34083,147.46092
-41.71,-37.42,-65.82,7.830027,12.867079,28.343704
-32.8,-77.77,-110.21,-31.339453,-64.73387,2.094567
33.42,199.43,68.94,14.976175,23.601088,41.178726
48.1,-87.8,-53.87,9.574793,-9.201021,-25.168991
92.23,230.24,75.89,31.662466,44.095932,46.282913
-40.93,-47.03,-101.91,9.221689,14.357191,29.270401
-25.32,-45.83,-80.36,34.708202,23.045698,28.053055
73.9,308.67,104.34077,17.146952,30.38362,66.14003
-9.966,-16.6225,-33.263332,12.591333,22.5435,62.30739
-69.48,0.66,232.37,16.597044,47.612335,148.19322
15.4,19.09,-73.45,4.58581,14.747847,27.750381
-16.38,207.18,885.8,70.43192,118.489334,478.92126
-38.03,-88.15,-109.3,13.85055,6.57559,20.080215
50.24,21.01,40.14,-2.9557242,-0.6710682,17.79689
-17.43,-7.04,5.06,9.040995,13.770185,27.413895
-10.02,-31.94,17.29,0.85023916,-4.9862766,-5.1308813
34.48,152.76,75.79,19.325502,39.975327,72.65474
336.55,16.42,-56.57,66.510185,156.98413,252.62027
16.64,10.64,42.0,-0.88481677,13.654921,34.287918
-26.11,10.95,-23.86,18.757792,24.753614,48.628433
17.06,38.31,33.46,21.372553,14.190687,24.629288
216.65,231.46,165.34,14.532732,11.489691,72.87169
-14.0,-24.98,-37.7,25.626581,42.201706,51.587296
-11.99,21.62,215.61,15.014521,40.620056,125.94203
33.08,43.0,324.94,117.785255,234.04404,426.8198
-18.33,-1.35,176.45,14.023012,2.6229382,-15.08435
8.15,88.38,71.2,7.214453,-3.6845417,-5.4829855
-63.18,-69.56,-30.516666,15.658945,20.241713,38.551956
59.11,-89.36,-114.47,71.34455,118.59293,462.9913
-58.74,-71.24,-74.49,3.2361016,82.79931,95.490234
15.8108,38.891666,73.408264,-1.5401207,9.9490185,13.860673
-35.67,31.005,-32.44,-13.786581,-35.13475,-60.83757
-24.4,-42.15,47.91737,36.99441,58.678482,73.25783
-62.96,-69.46,-89.11,-4.89446,-4.8063984,-15.630477
-55.17,-51.26,-17.3,18.817202,25.04354,24.579224
129.89,30.275,24.184706,34.56834,-21.20772,33.437973
18.04029,211.54,68.6626,21.267761,44.01938,-10.502919
-58.21,-83.67,-78.77,11.554201,24.648985,43.93434
-29.0,-28.45,-83.34,26.347216,44.256836,81.07771
22.423124,35.961334,44.13357,15.39081,21.867964,39.71486
33.34,30.073334,66.54522,1.0206779,2.3002453,-0.06223985
-29.3475,526.52,666.055,21.046915,50.141678,84.57869
-37.86,-47.87,-59.3,-0.6971947,-2.8288288,-4.4431906
54.336086,16.15,10.455714,7.142489,14.198301,23.90895
4.79,-2.96,-100.34,43.0043,63.621063,59.468613
30.36,41.78,65.79,2.4328256,10.8787365,21.129288
-14.32,6.98,0.07,7.176623,11.85211,25.334549
276.36,118.86,138.35,67.47933,83.276146,174.42207
3.4,-20.0,-21.33,20.853365,37.309975,56.2854
116.33,477.39,385.26,19.709759,19.835722,102.57559
-39.96,-77.29,134.76,18.387281,11.328032,-65.05534
-40.04,-53.18,-55.84,7.734568,26.061567,77.16994
99.66,258.18,192.49625,3.1580224,2.118803,11.5404215
6.09,41.75,-39.48,23.360662,32.851524,34.05445
26.78,-12.11,66.98,11.191141,17.771582,34.11302
129.21,92.498886,81.3575,8.212069,7.2199535,9.159165
-83.74,-68.4,-108.51,8.924677,22.626585,36.29448
-41.01,71.629,108.15,-3.6383338,1.1857433,5.796769
130.57,21.4,38.08,28.854769,69.26824,122.99411
-27.92,-9.37,-12.47,1.8162788,15.474958,41.461685
33.05,46.497917,90.33435,11.427713,18.482405,26.769669
-29.03,-45.63,-50.37,5.134684,15.153547,58.90468
-23.96,159.35,563.53,19.20398,64.099915,76.94143
3.63,63.72,158.32,35.326656,78.585335,109.19307
-6.19,-45.29,-76.36,-7.304689,-134.24925,-220.05284
-37.51,-2.39,6.28,4.5626016,9.071974,10.803239
9.54,34.18,-11.34,9.448481,6.9605236,16.067581
44.79,36.25,18.87,-12.20056,-26.746172,-50.050247
14.73,73.61,111.31,10.639528,34.5719,60.363113
-61.27,-83.1,-75.21,36.351967,106.435394,198.3333
86.41,214.81,853.07,54.801643,122.02728,204.71545
-80.01,26.62,-53.17,-13.352652,-35.955795,-64.081955
-64.92,-49.29,-41.83,-1.7879769,-0.73646736,1.4845741
-18.71,-74.16,13.031428,12.352472,26.992811,57.991287
74.8,177.88,268.32,26.570635,42.65294,38.28018
-30.41,-48.83,23.65,1.6672653,5.4431057,8.30092
-58.12,-52.64,-78.46,35.190014,4.2645397,23.704239
-46.7,-54.12,-75.06,8.295511,13.9221325,30.18013
-16.35,-22.23,49.54,10.372583,13.839827,22.652115
-6.93,-30.4,-44.53,6.9075875,8.097364,16.807083
-96.61,-72.16,-133.08,18.332367,43.32708,182.74763
-100.26,-150.83,-136.68,-13.664633,-100.034065,-181.87106
59.56,-76.53,-105.76,27.621843,55.677536,102.44429
-13.38,-19.04,-47.26,5.877711,12.181044,26.644547
-35.41,-37.77,-68.53,-2.016481,-3.0111637,-8.764953
-6.83,9.44,3.022,42.332783,89.9513,132.79704
-29.41,-14.62,-63.67,21.079401,38.627464,53.863403
-51.27,-11.71,-4.14,11.99798,22.059309,25.610672
-37.13,10.07,2.64,9.1549015,25.811079,36.22255
-15.33,15.22,27.645,13.44846,6.52722,23.077332
-33.94,-39.93,-68.66,18.572153,31.41673,61.21907
9.69,68.64,100.56,8.603464,14.7632885,37.838455
370.23,320.88,137.51,29.24745,116.47667,144.09428
-48.3,-60.2,-66.58,15.223547,32.91198,54.330124
-26.96,-25.38,-72.53,-0.30463946,-0.5883503,10.227189
-27.55,68.175,84.011536,17.0805,28.002775,40.82057
-73.02,-75.61,-150.18,-17.124365,-34.10299,-217.89687
-30.44,-103.18,-87.63,19.933146,-24.487444,-41.245235
-32.39,297.89,564.97,-0.78112566,-9.588312,-38.278244
12.20625,29.422857,40.386665,-2.1233726,7.260893,17.730728
-7.4,-6.95,-20.38,21.002085,36.89189,89.50252
-5.36,-4.0,-51.44,5.922831,9.6365795,20.96376
17.32,95.74,234.36,31.1574,50.134567,54.34082
-21.6675,-76.3675,-96.28,125.7026,282.2951,681.4408
10.66,16.67,56.93,8.269842,16.70877,8.371675
105.19,-117.03,-147.75,14.732794,77.18354,57.201736
-38.67,-108.1,-140.135,13.570017,50.073868,130.55215
-0.39,-84.33,-135.08,-41.89571,7.589178,-95.12014
-10.46,19.67,194.65,42.286274,93.38602,202.37682
-121.28,-113.14,-134.41,-9.900991,-25.68622,-65.599686
53.23,21.0,76.75,48.56921,146.32896,285.7861
20.9,38.97,148.11,121.97468,225.98145,397.09506
98.6975,332.75665,692.675,41.411358,161.39908,320.7535
46.98,42.32,412.18,14.273203,23.235647,43.311096
