Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3
81.655,31.19,68.6626,7.965811,42.624733,77.84043
75.292854,168.239,228.76105,65.08968,150.47032,228.02068
17.29625,58.748,106.275,19.544725,43.131393,67.40377
5.84125,17.79857,17.985,-0.62779284,-3.0619948,4.0397305
25.821539,95.74167,221.58455,20.628965,64.473114,108.11615
-11.486667,-12.37,-91.33,-15.489031,-39.737915,-58.772488
-93.56,-63.16,-98.47,-58.13925,-83.0502,-100.19499
42.693333,135.96,-96.96,-1.5288296,12.9293585,29.61543
-9.285,-70.11143,-35.232857,-14.136026,-21.718412,-20.332117
-5.355,-9.57,68.6626,8.832027,7.853275,31.151867
-11.52,-23.05,47.76,-32.117584,-32.263508,2.5606623
5.4457145,28.24,41.34,7.7207394,13.585889,39.510647
-17.682222,-34.743332,-38.94889,-28.583555,-51.876286,-68.908844
11.005,15.55,68.6626,17.19158,18.607626,5.7740345
18.565882,71.19813,118.64333,34.78186,76.04548,108.82635
37.181667,74.304115,101.399376,30.195593,56.499496,87.55506
35.12,103.01,68.6626,1.1256633,-12.3191595,-5.402608
-10.27,-4.78,65.29,-2.3838606,12.016885,33.864388
-65.21,-107.98,-86.64,-49.13025,-73.8399,-93.71884
-11.296429,-15.29077,4.800833,7.036818,17.287231,37.0256
-75.52,-93.93,-108.89,-67.83741,-92.10181,-104.65438
-35.64,-64.38,-78.82,-37.789932,-51.497044,-70.1003
19.12,29.231333,32.646427,13.493207,15.936542,26.962656
-51.8,-133.96,-136.07,-66.692184,-100.744415,-124.518425
26.672,24.8625,7.71,1.5487657,11.298704,32.691483
49.7272,94.79667,76.43348,15.598225,28.948992,52.973312
-91.1,-127.79,-140.13,-76.836235,-118.54359,-158.42264
23.596363,34.245,27.995556,8.473071,13.29722,22.065653
-82.0,-74.74,-122.84,-56.64926,-78.67781,-97.81231
34.822,77.72958,132.84782,38.09069,59.948578,95.40012
33.928,173.8189,184.53375,44.57615,84.47558,132.64423
17.594706,37.773125,50.694,15.158631,29.22232,48.843353
47.638462,5.4875,16.447273,15.139773,7.5370617,-5.692277
-19.17,-49.18,-45.99,-32.95955,-41.65672,-45.44498
111.555,502.70334,991.295,138.40073,483.68097,897.00543
-61.05,-109.54,-115.84,-32.799828,-43.7904,-48.68625
28.109545,73.81476,126.8275,30.142967,63.787315,111.953255
-98.21,-79.76,-134.29,-36.02311,-50.43919,-55.15212
46.295,189.02,417.18668,77.89792,157.74397,371.37054
158.1275,671.73334,1547.935,163.11517,620.48773,1495.7812
26.78,56.3975,70.52286,22.658234,46.071373,71.66605
73.60667,14.480909,124.704544,-10.873228,25.005531,107.59504
-58.3,-112.08,-81.27,-43.892296,-67.28407,-69.940445
-18.15,-48.67,-104.55,-31.886244,-52.752495,-65.85186
16.302917,39.73174,72.44091,10.622903,33.135456,54.0771
13.674,25.08,78.776665,-20.205736,-18.32308,76.83671
-78.31,-121.37,-92.88,-46.094063,-56.56137,-59.281265
-99.68,-21.36,-62.946,-39.54799,-60.32599,-78.1481
29.778334,-5.916,-2.4375,-26.096872,-33.885376,-27.711521
15.925625,30.848,17.883572,8.933437,24.364948,21.09064
-42.78,-80.09,-110.79,-43.090324,-64.28425,-88.80897
30.332777,44.954117,79.68188,15.247621,41.99576,77.78611
28.432222,49.114704,85.5,40.02523,71.133705,108.303696
-49.93,-92.2,-100.24,-51.389526,-62.237164,-70.88902
28.18087,72.35318,126.30143,37.679977,64.52211,93.177315
-60.3,-107.32,-67.85,-50.813744,-73.41358,-86.608665
7.028,21.387083,36.08913,14.356253,10.191607,12.361834
-6.4572725,-28.014,-34.545555,-4.904222,-9.359013,-18.509314
45.585,52.23,68.6626,31.928467,37.802914,61.47584
-13.634286,-31.228333,-46.906,-6.388153,-21.390951,-22.698523
-24.840834,-50.91083,-81.64167,-22.450802,-49.47107,-77.85375
-5.966,-55.994,-41.722,-26.803326,-44.66765,-38.99517
