Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3
2.664,8.069583,14.570435,-7.6900673,-4.048978,-23.519392
182.68,485.95,68.6626,289.74182,673.3721,22.138731
77.462,180.58643,108.90769,39.481262,96.417114,124.18385
15.32,42.275,80.47087,10.36184,34.094852,68.490845
97.99,146.54666,218.655,66.55707,155.78839,191.20883
15.471429,44.905384,67.38167,12.973912,40.978065,49.117455
8.318334,3.83,-0.16875,-8.408634,-3.1127827,-11.268738
28.728333,79.25636,153.27,29.410824,73.80298,105.579315
-23.81,-16.203333,-48.14,-19.586044,-21.916569,-82.06709
30.55375,91.88739,179.16545,41.330833,103.12514,198.69415
-23.82,-137.03,-195.79,-43.829323,-66.572014,-122.71828
-53.1,-94.4175,-118.1975,-107.117,-181.74982,-192.9064
-12.006667,-45.64,-57.32,-28.505302,-41.002777,-69.247574
-49.02,-56.45,-115.88,-66.33373,-110.56638,-134.4511
-50.1,-106.33,-131.54,-94.60713,-159.4862,-200.3796
20.01,11.518333,8.447272,-6.6094255,2.1019022,0.28135157
35.96,94.37666,180.766,20.824047,57.777374,94.39065
-1.8025,-3.8885715,-8.998333,-19.100464,-23.458977,-28.14979
78.09,173.83,68.6626,73.77694,171.67041,82.40951
8.212222,60.111176,135.45563,31.991879,88.03282,179.11897
32.922726,73.719,156.55112,23.37846,69.40988,131.98923
-24.840834,-50.91083,-81.64167,-54.547527,-90.1236,-200.65567
7.6692,19.77375,40.301304,6.2987547,24.884468,47.11785
-53.26,-74.99,-115.39,-65.66182,-112.173676,-127.8224
-47.88,-58.656,-110.3,-47.454544,-76.5893,-177.45755
-7.171,-19.24,-30.00875,-19.32808,-27.315477,-45.688873
78.4725,121.23,122.685,34.364235,85.71447,60.796646
-4.29,12.380834,6.9863634,-15.397716,-15.555705,-27.375021
-60.19,-136.5,-169.54,-74.39394,-127.41945,-156.28384
-27.27,0.76,-117.03,-43.958538,-68.6393,-100.29949
-4.0316668,-57.692,-75.0,-42.27224,-68.12846,-112.41171
18.208666,72.05428,95.30923,27.27206,71.81164,109.57884
6.8544,12.678333,16.803478,-9.4917,-7.304719,-15.288019
53.49,159.904,329.8825,84.73928,204.58243,328.12512
65.07625,107.46933,158.35,42.08406,103.235275,160.56735
-113.43,-129.29,-126.628334,-71.18081,-122.979034,-140.84209
27.8725,102.46667,93.045,29.919655,82.70079,130.16205
-49.93,-92.2,-100.24,-72.117744,-124.96161,-115.071976
10.912,26.04,72.503334,-0.20897508,14.21356,1.4109893
-92.73,-123.17,-93.27,-91.803276,-153.92323,-174.28685
-99.93,-131.02,-115.9,-73.4673,-124.267624,-144.18329
-33.2,-20.61,-86.96,-34.192223,-56.701656,-122.43495
-40.5,-89.12,-142.63,-73.749214,-124.480774,-171.5551
6.2713637,43.904762,76.331,13.43288,42.395252,57.475937
53.1248,81.53,197.29913,36.351395,91.47775,177.64406
42.7296,92.32042,154.11826,39.09108,96.39344,156.26683
-6.4572725,-28.014,-34.545555,-16.560694,-17.679234,-41.928375
-29.41,-28.12,-49.68,-50.960342,-82.83888,-90.91913
56.53375,-19.55,-24.29,-17.922709,-21.416323,-50.331642
15.682,45.37625,74.30826,14.709701,42.487232,75.56357
30.8032,88.57625,188.83391,28.725365,74.72119,146.0928
19.43,36.24087,69.97363,18.104755,50.99933,71.10784
58.886,102.33357,166.68307,50.071243,120.70676,185.04346
5.9464,15.724584,19.83,8.529353,30.76678,6.7080216
6.14,27.36,17.773333,-3.1631267,10.715295,18.24103
16.53353,45.045,74.972,-3.1884532,5.535183,20.351261
8.3308,16.684166,30.027826,15.536056,45.451485,58.379456
-67.8,-62.82,-125.22,-53.019367,-89.66147,-108.70355
25.4992,53.9675,77.92913,20.363377,53.70912,33.981693
-95.16,-119.48,-144.52,-89.19573,-151.20181,-188.06866
17.594706,37.773125,50.694,5.976552,24.889418,52.24669
4.59375,16.55857,-7.7633333,-1.0464374,16.196667,-1.5787587
4.557778,9.179412,12.2075,-14.426597,-17.15033,-28.134298
16.6548,46.497917,90.33435,19.93694,52.899754,56.271606
46.066666,104.53,250.44,20.128101,57.81225,119.12666
36.400833,71.79364,132.856,30.699959,81.246475,150.30292
18.928572,32.633076,52.245834,7.697605,29.871843,39.285233
11.133846,10.6975,4.7254543,-9.907154,-8.661824,-27.06185
24.3448,60.705418,111.80695,19.018356,52.38014,112.83571
12.1676,36.157917,53.266956,5.0112724,22.513197,31.614553
-8.23,-18.79,17.38,-37.18611,-58.39131,-80.89267
27.9325,60.596,57.46857,22.252647,59.81205,60.34975
-11.76,-22.18,-86.47,-43.813694,-70.73515,-111.32037
22.72,1.6725,-29.016666,-36.7193,-58.786575,-142.86603
-9.06,17.405,57.95,11.100699,43.0823,86.02737
17.29625,58.748,106.275,18.990376,51.073463,61.652134
10.31,25.74,28.2,-3.788863,8.780472,-19.403967
0.54125,0.0375,4.423125,-12.540868,-9.482745,4.9794593
10.486111,10.99647,19.285,11.060529,36.2058,48.40157
3.404706,36.7725,88.085335,26.880684,69.11952,87.46483
53.333332,97.31,104.4575,33.13256,86.769424,156.92358
21.7772,40.91083,64.22087,26.377872,66.93816,84.10555
-54.09,-71.84,-24.53,-46.967636,-76.76515,-119.957794
