Year,Company,Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3,Type
2007,Marico,-48.765,-86.52,68.6626,-28.544727,-40.526333,-21.294436,Test
2011,Shri.City Union.,26.9,-5.448889,-38.495,-10.71049,-7.578272,-17.59009,Test
2001,S P I C,61.06,56.07,68.6626,7.97115,23.642263,55.83779,Test
2020,PSP Projects,26.685556,22.1775,22.127142,-5.514669,13.643082,13.666493,Test
2023,Vadilal Inds.,5.89,53.73,79.29667,17.872793,51.66219,86.78876,Test
2019,Axis Bank,22.088,55.83875,104.61696,24.969683,56.334663,113.05967,Test
2012,Tulip Telecom,-117.21,-104.61,-132.42,-67.64893,-104.80473,-134.91858,Test
2019,Bengal & Assam,-42.67,-74.7,-90.27,-66.24074,-97.83743,-99.75223,Test
2021,Responsive Ind,-22.27,-50.484,-82.345,-9.989984,-17.199736,-52.78042,Test
2007,Elgi Equipments,-69.88,0.7266667,-4.706,-29.911375,-25.963875,-28.079279,Test
2015,Man Infra,25.9285,79.72632,155.86444,19.097313,67.94763,142.19765,Test
2006,IL&FS Inv.Manag.,18.347778,40.75125,55.501427,20.774355,42.020954,39.115578,Test
2020,Sumitomo Chemi.,69.458,257.18,260.91,51.760773,186.8679,279.0527,Test
2023,PSP Projects,13.703157,37.157223,66.08118,21.222284,66.65536,93.47185,Test
2012,Crest Animation,26.496666,67.461815,110.538,39.16188,99.921745,158.60002,Test
2016,Power Grid Corpn,11.005,15.55,68.6626,17.479898,51.59751,41.62631,Test
2002,Carol Info Serv.,-53.7,-29.91,-24.14,-35.49873,-46.986565,-56.57715,Test
2000,Tata Comm,-66.81,109.95812,364.35733,-4.393373,80.24732,363.65466,Test
2011,JK Lakshmi Cem.,40.22478,121.71636,203.03476,45.006264,112.96112,194.41008,Test
2011,Grasim Inds,4.4222727,28.155714,20.9925,29.616282,38.03692,68.09462,Test
2007,CMC,-13.634286,-31.228333,-46.906,-8.52879,-18.290638,-28.367083,Test
2021,Marine Electric.,10.9356,38.895416,66.04174,8.545123,38.102795,82.349335,Test
2015,Omkar Spl.Chem.,27.545713,59.671665,90.784,3.6747384,16.268244,24.459044,Test
2008,GTL,112.755,248.50333,492.49,94.88968,269.29974,443.11224,Test
2022,Choice Intl.,17.3448,40.602917,67.789566,9.108232,29.315916,24.129957,Test
2021,Power Grid Corpn,20.083479,54.24818,99.227615,25.048796,73.64113,119.07074,Test
2022,PNC Infratech,-42.5,-66.51,-96.73,-27.642614,-30.735909,-43.6605,Test
2016,PVR Inox,-89.08,-118.29,-100.4625,-40.69107,-58.844078,-70.63825,Test
2021,Borosil Renew.,-53.61,-94.52,-73.42,-35.002316,-49.18804,-61.801247,Test
